NAME,Production,Employment
ΑΘΗΝΑΙΩΝ,260658,73336
ΒΥΡΩΝΟΣ,23679,6662
ΓΑΛΑΤΣΙΟΥ,23395,6582
ΔΑΦΝΗΣ - ΥΜΗΤΤΟΥ,13017,3662
ΖΩΓΡΑΦΟΥ,26546,7468
ΗΛΙΟΥΠΟΛΗΣ,30527,8588
ΚΑΙΣΑΡΙΑΝΗΣ,10287,2894
ΦΙΛΑΔΕΛΦΕΙΑΣ - ΧΑΛΚΗΔΟΝΟΣ,13716,3859
ΑΜΑΡΟΥΣΙΟΥ,29960,7301
ΑΓΙΑΣ ΠΑΡΑΣΚΕΥΗΣ,24581,5990
ΒΡΙΛΗΣΣΙΩΝ,12861,3134
ΗΡΑΚΛΕΙΟΥ,20251,4935
ΚΗΦΙΣΙΑΣ,28790,7016
ΛΥΚΟΒΡΥΣΗΣ - ΠΕΥΚΗΣ,12663,3086
ΜΕΤΑΜΟΡΦΩΣΕΩΣ,12170,2966
ΝΕΑΣ ΙΩΝΙΑΣ,26325,6415
ΠΑΠΑΓΟΥ - ΧΟΛΑΡΓΟΥ,17492,4263
ΠΕΝΤΕΛΗΣ,14447,3521
ΦΙΛΟΘΕΗΣ - ΨΥΧΙΚΟΥ,11267,2746
ΧΑΛΑΝΔΡΙΟΥ,30329,7391
ΠΕΡΙΣΤΕΡΙΟΥ,52316,9335
ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,8503,1517
ΑΓΙΩΝ ΑΝΑΡΓΥΡΩΝ - ΚΑΜΑΤΕΡΟΥ,23870,4259
ΑΙΓΑΛΕΩ,24825,4429
ΙΛΙΟΥ,31711,5658
ΠΕΤΡΟΥΠΟΛΗΣ,23550,4202
ΚΑΛΛΙΘΕΑΣ,37371,15588
ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ,28261,11788
ΑΛΙΜΟΥ,16653,6946
ΓΛΥΦΑΔΑΣ,34153,14245
ΕΛΛΗΝΙΚΟΥ - ΑΡΓΥΡΟΥΠΟΛΗΣ,19979,8333
ΜΟΣΧΑΤΟΥ - ΤΑΥΡΟΥ,15579,6498
ΝΕΑΣ ΣΜΥΡΝΗΣ,29303,12222
ΠΑΛΑΙΟΥ ΦΑΛΗΡΟΥ,24496,10217
